Label,Half,Full,Accuracy,half_FP,full_FP,max_FP,mean_FP
1.4/2.68,1.4,2.68,57.70%,1.14,0.15,1.14,0.645
1.4/2.46,1.4,2.46,64.98%,1.03,0.31,1.03,0.67
1.4/2.24,1.4,2.24,69.56%,1.03,0.46,1.03,0.745
1.4/2.02,1.4,2.02,71.33%,0.99,0.72,0.99,0.855
1.4/1.8,1.4,1.8,72.34%,0.76,1.64,1.64,1.2
1.3/2.68,1.3,2.68,65.33%,1.98,0.15,1.98,1.065
1.3/2.46,1.3,2.46,72.61%,1.98,0.31,1.98,1.145
1.3/2.24,1.3,2.24,77.19%,1.98,0.46,1.98,1.22
1.3/2.02,1.3,2.02,78.96%,1.98,0.72,1.98,1.35
1.3/1.8,1.3,1.8,79.97%,1.95,1.64,1.95,1.795
1.2/2.68,1.2,2.68,71.46%,4.92,0.15,4.92,2.535
1.2/2.46,1.2,2.46,78.74%,4.92,0.31,4.92,2.615
1.2/2.24,1.2,2.24,83.33%,4.92,0.46,4.92,2.69
1.2/2.02,1.2,2.02,85.09%,4.92,0.72,4.92,2.82
1.2/1.8,1.2,1.8,86.10%,4.88,1.64,4.88,3.26
1.1/2.68,1.1,2.68,74.81%,9.65,0.15,9.65,4.9
1.1/2.46,1.1,2.46,82.09%,9.65,0.31,9.65,4.98
1.1/2.24,1.1,2.24,86.68%,9.65,0.46,9.65,5.055
1.1/2.02,1.1,2.02,88.44%,9.61,0.72,9.61,5.165
1.1/1.8,1.1,1.8,89.46%,9.57,1.64,9.57,5.605
1.0/2.68,1,2.68,76.22%,15.79,0.15,15.79,7.97
1.0/2.46,1,2.46,83.50%,15.79,0.31,15.79,8.05
1.0/2.24,1,2.24,88.09%,15.79,0.46,15.79,8.125
1.0/2.02,1,2.02,89.85%,15.75,0.72,15.75,8.235
1.0/1.8,1,1.8,90.87%,15.71,1.64,15.71,8.675